Index,p_inf,p_hcw,c_hcw,d,q,p_s,rrd,lambda,T_lat,juvp_s,T_inf,T_rec,T_sym,T_hos,K,inf_asym,total_deaths_mean,total_deaths_variance
10,0.281370581,0.243952522,35.68701328,0.358861245,0.611024106,0.557403761,1,0.000143823,11.31292401,0.915889801,7.674738606,23.00634102,5.016113875,6.209735536,10000,0.151022721,58778.164,56236.669104
11,0.755247347,0.526387219,73.9243058,0.817972651,0.525019401,0.250930093,1,0.000232985,0.247000927,0.113190174,7.678374519,1.115122433,11.68016018,27.0533167,10000,0.646609844,27395.622,26649.621116
12,0.61423992,0.818599548,21.80360066,0.028964094,0.086367017,0.420382351,1,0.000981407,5.955399569,0.893462641,3.945219376,16.70190983,12.95442151,5.385045768,10000,0.445399261,47134.165,47609.153775
13,0.668058935,0.74173889,78.38620526,0.859544655,0.957111222,0.256697599,1,6.02e-05,9.673133775,0.233075343,8.189332854,9.141187397,0.732024155,23.9071825,10000,0.355797228,25255.09,22519.6459
14,0.19474962,0.039689348,18.00463171,0.785508613,0.055824857,0.398131905,1,0.000858575,0.14114412,0.072253904,7.267135387,14.31934669,3.653944699,9.441101523,10000,0.877698869,42387.465,45047.47077500001
15,0.841317821,0.931834438,31.3599095,0.763009326,0.739565422,0.543918158,1,0.00076589,4.822132148,0.713174909,8.996321527,22.23607941,5.170147185,8.239920703,10000,0.751951912,60439.311,54716.78827899999
16,0.022647322,0.522656432,11.87677277,0.907537569,0.200335395,0.123179573,1,0.000364888,4.909313476,0.560976906,11.24142321,25.26839329,9.082972315,17.29390544,10000,0.093145488,206.985,211.576775
17,0.393847122,0.887852545,62.09228343,0.604501979,0.445730442,0.29584303,1,0.000699349,7.759907981,0.094217492,7.837973267,16.11872691,11.8308752,32.84870806,10000,0.568370846,32200.95,32820.269499999995
18,0.907965206,0.094524149,5.600104317,0.197869925,0.211662629,0.950964203,1,0.000427713,12.54589893,0.681283908,2.976436007,1.875095814,8.565414297,33.31430168,10000,0.810586404,104856.683,100632.148511
19,0.772768318,0.327630881,40.56037773,0.06696913,0.953685182,0.381973927,1,0.000292522,3.177272036,0.375499133,2.614269247,9.327059304,6.661392437,25.03890981,10000,0.036925743,37105.194,35864.344364
20,0.383515118,0.475852141,63.30530591,0.266807155,0.977971765,0.360415412,1,0.000736052,4.583376434,0.780800845,12.67712707,12.49287063,5.304383733,10.18302003,10000,0.327072046,40317.684,41793.10814399999
21,0.848039292,0.397143748,19.50606301,0.318890879,0.226186185,0.32041726,1,1.63e-05,1.837584218,0.323397699,15.10492173,6.806911592,3.542442027,16.87290768,10000,0.026043019,35457.715,31981.783775
