datazone,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01013289,7,12,11,10,16,13,14,18,12,18,16,12,15,13,10,9,20,14,10,7,15,9,7,13,10,5,7,1,10,3,3,7,16,10,10,13,11,7,15,23,17,17,14,17,12,13,15,21,15,18,21,20,15,22,21,23,9,17,15,16,9,8,13,8,9,14,10,11,18,16,15,9,6,11,11,11,4,8,10,4,2,8,3,3,1,1,2,0,1,1,3
S01013290,6,10,11,6,16,12,9,7,8,14,16,8,7,12,12,3,20,9,11,7,14,3,7,15,3,10,13,12,10,9,5,6,6,9,8,11,14,12,8,21,8,15,11,22,8,19,14,22,14,16,22,13,21,23,19,10,25,11,15,10,13,8,15,5,6,6,8,5,8,5,4,13,6,6,2,4,3,2,2,4,1,1,4,1,2,0,1,1,1,2,1
S01013291,6,6,14,7,10,5,13,13,9,14,4,11,8,12,8,13,13,15,14,14,14,12,10,5,12,2,3,9,8,4,3,13,7,7,12,11,7,11,5,9,13,10,13,19,9,18,17,16,17,15,11,7,9,11,13,10,18,7,7,8,5,4,2,7,10,5,14,13,3,7,10,5,4,4,1,1,2,2,0,0,1,2,1,0,0,0,0,0,0,0,0
S01013292,14,18,16,11,12,10,8,13,11,10,5,9,7,7,7,5,10,10,9,10,9,9,9,10,18,13,10,15,20,10,13,15,17,11,24,20,11,22,5,13,12,6,13,6,9,9,11,16,10,20,16,16,13,16,16,17,22,23,18,13,12,11,16,9,21,14,12,5,10,9,12,13,5,7,8,7,5,6,3,6,6,4,2,3,0,4,2,0,0,0,2
S01013293,2,3,2,5,5,2,3,5,3,5,6,5,3,13,5,9,3,10,6,7,3,12,10,8,16,4,5,6,7,4,6,7,6,1,7,4,8,7,4,5,4,9,9,4,6,3,10,16,13,13,18,19,10,15,10,16,20,11,9,10,13,9,13,9,11,14,16,5,13,11,6,5,8,0,4,5,9,2,6,13,2,3,5,2,0,1,0,1,1,0,1
S01013294,3,11,9,11,12,10,5,12,5,8,13,3,4,14,8,11,9,11,8,9,8,13,5,11,7,14,9,11,8,12,5,11,11,9,9,12,9,3,5,5,11,10,7,12,8,10,10,4,15,12,12,10,21,16,9,10,20,14,12,14,11,9,12,11,9,7,11,9,6,3,10,7,4,3,12,1,6,2,0,3,2,2,4,3,0,2,1,1,0,1,4
S01013295,7,6,6,3,6,5,4,8,6,5,10,7,10,7,3,4,5,8,0,4,5,7,10,11,12,10,10,10,6,13,12,8,9,20,10,10,5,3,4,14,9,8,10,8,8,7,4,10,7,15,7,7,3,9,26,17,11,13,16,7,14,11,11,12,11,13,9,7,2,4,15,12,8,7,4,6,6,3,2,5,4,2,1,1,3,1,2,4,0,0,4
S01013296,7,0,8,6,5,6,9,6,5,11,7,9,9,8,7,8,12,7,9,11,8,9,15,10,9,1,5,4,7,4,4,14,9,6,5,2,7,11,8,5,13,4,9,4,7,8,7,11,11,4,10,18,8,9,21,11,19,14,6,4,8,15,5,10,15,10,4,5,14,10,14,8,5,9,12,8,5,5,4,4,7,2,3,6,0,2,0,4,1,2,4
S01013297,6,8,10,2,6,7,7,9,11,11,8,6,5,2,7,5,4,9,11,6,13,1,5,1,17,11,14,11,2,11,7,10,9,8,4,1,8,6,15,11,4,2,4,10,9,8,7,11,6,12,8,11,7,19,11,14,17,8,6,8,5,8,8,8,5,4,4,7,12,13,5,17,10,6,4,9,7,8,9,5,6,3,1,2,3,0,8,0,1,2,4
S01013298,23,34,35,33,32,25,21,25,20,21,20,22,14,14,13,13,9,17,11,16,16,13,8,17,7,16,21,17,21,16,28,32,25,28,31,32,30,33,42,31,14,21,19,40,40,30,16,20,20,18,15,19,21,22,17,15,20,15,16,12,14,6,8,10,13,9,16,14,10,13,10,7,10,6,6,13,10,7,8,4,8,5,1,5,8,3,2,6,2,2,3
